bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-NDARINVCW577CWF_run-01_T1w	0.6774289062500001	1.4054818180590865	0.6155	-1.0	4.53340891318544	4.3928998254418445	5.036969906213177	4.170357007901299	0.27649870918069525	0.37086290709336683	0.3526383837259379	0.5713170170783997	0.2957278713583946	0.0	0.001119245175302644	5.4470542163301365	5.315524242459141	5.389814475482902	144	192	192	1.8551960287780724	4.682362419986567	5.087670920924272	8.725454314008179	8.890915322707905	20.11532669356838	18.894425807615136	27.677035406569125	1.2000000476837158	1.1979166269302368	1.1979166269302368	1168.187	0.0	3.5227	0.0	1639031.0	0.0	12.0	22.1795	-1.0193	148.7151	329.7413	301.0	265677.10287705157	118.0	635.0	162.2467	-0.5244	90.0543	686.1876	681.0	356348.07487197506	448.0	959.0	145.4392	-0.7147	83.3675	905.7311	937.0	338836.8228884823	700.0	1037.0	107.3868	0.1912560822656477	0.553131905181033	0.5676827690107985	0.6566105123488659
sub-NDARINVCX643TCM_run-01_T1w	0.5773527777777777	1.6898735552647586	0.6072	11929.0604	4.177459352263399	3.9290915105385973	4.71674728689533	3.886539259356267	0.27242805247581403	0.3763162081599811	0.35125573936420473	0.44148436188697815	0.18844366669654838	0.0	0.0002905549666089497	5.634224373685979	5.544440529692939	5.64094459233609	144	192	192	2.06213674917028	5.608323063246745	6.709101947065185	12.456846028778529	67.17429260905186	116.13182790039474	113.47521745822887	157.11953186523996	1.2000000476837158	1.1979166269302368	1.1979166269302368	20.2582	0.0	2.98	0.0	1657113.0	0.0	11.0	4.0279	-0.8418	154.4978	423.1419	413.0	251938.4664713433	108.0	747.0	200.2773	-0.7361	87.1895	719.2081	714.0	348013.09017379367	513.0	961.0	127.3106	-0.4267	58.3034	948.0965	966.0	324837.4442735926	791.0	1046.0	77.5476	0.2145544264441271	0.5472933519018329	0.5561488196100981	0.761502021289456
sub-NDARINVDC524THW_run-01_T1w	0.5616131868131868	1.7611163268730239	0.5554	-1.0	4.13001403863442	4.047449839168793	4.477448496348788	3.8651437803856816	0.27622143076458244	0.3792757826492051	0.3445027865862124	0.4940324127674103	0.19975985586643225	0.0	0.000944799087471109	6.298751446423711	6.213779139984475	6.319422168180653	144	192	192	2.1679550343466394	5.426383254634564	6.189293728909466	10.973542897747196	27.28182375883643	45.979854188673116	45.80241143251808	64.14555635004469	1.2000000476837158	1.1979166269302368	1.1979166269302368	373.032	0.0	3.157	0.0	1811056.0	0.0	13.0	9.8456	-0.811	138.4836	417.062	410.0	228639.25102229684	122.0	727.0	189.1179	-0.6981	87.9326	690.8173	691.0	313941.35725014406	478.0	923.0	127.3406	-0.603	65.3878	939.5558	964.0	285158.39224400034	762.0	1046.0	87.8475	0.2180708971859867	0.5620085049010136	0.5738943432968439	0.7168776449595969
sub-NDARINVDD155BRR_run-01_T1w	0.551805223880597	1.839126226498911	0.5364	25426.9601	4.197469097053729	4.121074836243199	4.676711111654235	3.794621343263753	0.27099683805869784	0.381488542961268	0.3475146189800342	0.46685977280139923	0.18020454943180086	0.0	0.00043187633035012164	5.704363553104741	5.629522418815979	5.726810881674203	144	192	192	1.8580213241071155	5.674904560632603	6.8006327353358955	12.868972321267966	49.56360985535125	85.55478865006843	84.38335858828752	118.03167725944286	1.2000000476837158	1.1979166269302368	1.1979166269302368	4.7742	0.0	3.5944	0.0	1821987.0	0.0	15.0	5.4062	1.1527	161.3483	413.1395	409.0	247457.5109922433	72.0	762.0	220.1262	-0.3016	91.405	710.1418	706.0	348351.68553813663	509.0	944.0	124.4072	0.6107	56.4788	955.9683	974.0	317328.8045065328	804.0	1050.0	75.6858	0.21888284494996024	0.5572217503930744	0.5565255783126725	0.7322745012853247
sub-NDARINVDK220VPQ_run-01_T1w	0.6988463414634146	1.1559912395251348	0.6323	9155.3543	3.9523202518674356	3.777233183239572	4.3726164928713755	3.707111079491361	0.2625946522406712	0.3642211335810344	0.37318421417829434	0.5091280937194824	0.17666033506393425	0.0	0.0005932317121444149	5.161725711812626	5.017790503361498	5.127299564176762	144	192	192	2.019572898311711	3.8314351364586887	5.0338368283280435	9.25050245021373	32.52262177256171	62.74744961554026	59.919395548360974	84.48811525698096	1.2000000476837158	1.1979166269302368	1.1979166269302368	2250.3403	7.413	5.7499	5.0	1585572.0	0.0	20.0	16.3096	-0.8356	153.5221	394.7387	368.0	264014.50170233584	146.0	717.0	182.2164	0.3923	87.9319	703.6961	710.0	366190.47749580676	362.0	1009.0	185.3089	-0.7167	83.9843	928.4163	956.0	375202.0214758975	732.0	1060.0	103.3456	0.2282954704342177	0.5450817161833343	0.5452081064324886	0.5392165156357808
sub-NDARINVDM785DVB_run-01_T1w	0.5409702205882353	1.8075396806373882	0.5554	17537.3265	4.450116465368894	4.417966491112451	4.85123076961719	4.081152135377043	0.26987848604730114	0.382868440558961	0.3472530733937378	0.5057596564292908	0.24069346785545348	0.0	0.0005703033771315971	6.387757118145498	6.2968059855068805	6.387355442562395	144	192	192	1.870513804158731	5.8534077797962425	5.9721807959525925	10.192620803902804	28.813118666313592	51.7429303798197	50.938375582854576	72.25907770243042	1.2000000476837158	1.1979166269302368	1.1979166269302368	2964.0369	0.0	3.0011	0.0	1794373.0	0.0	11.0	8.6857	-0.9547	159.555	396.4059	382.0	220772.7462591239	84.0	725.0	204.2215	-0.5966	80.4675	692.0273	686.0	313203.6136564627	504.0	914.0	117.1965	-0.626	66.6764	929.1205	958.0	284068.64060523827	736.0	1039.0	93.9894	0.20616284821239994	0.5597692222565938	0.5622497999230295	0.7499450204075409
sub-NDARINVDT499KZL_run-01_T1w	0.6611326848249027	1.3445645514020064	0.6274	10782.9586	3.897233070368209	3.815416515055636	4.263034576192925	3.613248119856067	0.2810821032202806	0.3618667387191764	0.3570511580605429	0.5529356598854065	0.2322402700781821	0.0	0.0006968262567994157	6.1826178387787225	6.071708446224139	6.171786584607565	144	192	192	2.075537007882971	4.192237666590656	5.661059579980073	10.715404065466592	11.609287913560937	23.384898003533927	22.30934792940268	31.933857871113183	1.2000000476837158	1.1979166269302368	1.1979166269302368	1326.5057	0.0	5.6288	0.0	1706193.0	0.0	23.0	19.6948	-0.723	137.8478	371.5886	349.0	237345.72796698913	130.0	682.0	168.1489	0.1029	95.5406	694.689	703.0	305560.27418449393	395.0	984.0	167.6906	-0.6337	74.3705	938.9699	960.0	301493.99787621043	766.0	1055.0	89.5905	0.20412214677813395	0.5341185514528012	0.5663703423175964	0.5660708994952647
sub-NDARINVDV232BEQ_run-01_T1w	0.6084551440329218	1.7428278648003734	0.5706	-1.0	4.2515238497300984	4.0350331729955204	4.6716439810513695	4.047894395143405	0.26810160924817783	0.37575400036025436	0.35614439039156787	0.48782266676425934	0.20963174551725383	0.0	0.00035056734874757615	6.170824891026831	6.097043054580464	6.202236531087714	144	192	192	2.4340601619878046	5.927001197183945	7.679227242366424	14.676620367927525	58.171670119736305	91.53853717975822	90.6151773365878	122.13532471026888	1.2000000476837158	1.1979166269302368	1.1979166269302368	6.3349	0.0	3.0569	0.0	1762037.0	0.0	13.0	5.2031	-0.7545	136.2134	467.0497	462.0	226404.30229756795	175.0	775.0	189.8059	-0.8455	92.3678	729.5716	727.0	317313.7323779853	530.0	951.0	122.6588	-0.2775	55.4868	960.2858	970.0	300753.96581881435	834.0	1053.0	66.0914	0.23355033670699854	0.550675879405587	0.5662495951622698	0.6217815561483702
sub-NDARINVED812LMR_run-01_T1w	0.649723346303502	1.420144225268905	0.6113	-1.0	4.145674176853086	3.9473165098144016	4.611748326890641	3.8779576938542144	0.2759096970553942	0.37144970509655	0.35264059784805574	0.5768411159515381	0.27039669752120976	0.0	0.0005652028351409552	6.044123062814453	5.918615512350952	6.010915622869272	144	192	192	1.9505055015753257	4.657500323418533	5.231514241525814	9.086536899583585	44.71527264193378	88.27742937046526	84.73266563667299	121.20529489761992	1.2000000476837158	1.1979166269302368	1.1979166269302368	7.8828	0.0	3.3204	0.0	1575625.0	0.0	14.0	5.1133	-0.906	149.6313	369.9795	349.0	238448.0580855202	110.0	686.0	178.9276	-0.5792	88.3756	692.2026	689.0	321016.1215860749	447.0	966.0	147.9332	-0.6578	78.6033	916.483	946.0	304760.8208641677	714.0	1046.0	104.1099	0.2029825004547125	0.5489873841225772	0.5577309473155834	0.6014295686082959
sub-NDARINVEJ537VGZ_run-01_T1w	0.5284329931972789	1.8229121845887644	0.5588	14008.2189	4.226633756431489	4.063241505207956	4.747275287907983	3.869384476178525	0.28033684620156407	0.3777711393908751	0.34189201440756073	0.5198050737380981	0.2314899384975434	0.0	0.0005475132260960528	6.520332268676	6.438838445636014	6.539914822017685	144	192	192	1.8499334193248809	4.953152618543402	6.05708389474065	11.368165646353667	40.707678189173954	75.71180806063398	75.00352428261722	108.59108659804372	1.2000000476837158	1.1979166269302368	1.1979166269302368	849.5844	0.0	3.0811	0.0	1690228.0	0.0	12.0	5.8581	-0.9696	154.845	377.9577	364.0	224514.2112869285	77.0	704.0	196.7634	-0.6608	93.9383	682.1261	677.0	302546.7060663303	458.0	942.0	136.6804	-0.4043	61.421	946.9037	971.0	273812.0835704273	772.0	1049.0	85.4138	0.19846637891870414	0.5525587935146454	0.5486695646021635	0.6902081422038242
sub-NDARINVEK685MY0_run-01_T1w	0.613780078125	1.6550950015499377	0.5525	18671.6634	3.8325843789045746	3.7536081841783453	4.242515618990546	3.5016293335448334	0.2661877258281748	0.382970848710116	0.3508414254617093	0.5102161467075348	0.21023457497358322	0.0	0.0002638863448016597	6.717866974304295	6.614943988206915	6.720090788145037	144	192	192	2.363448585425832	6.01303742513322	5.896397911116022	9.312707722789014	74.5973530834341	115.03175906892382	115.63689983877468	157.28158736396614	1.2000000476837158	1.1979166269302368	1.1979166269302368	6.1726	0.0	2.387	0.0	1803359.0	0.0	11.0	3.9696	-0.6726	128.0077	453.2748	452.0	206665.48849663476	143.0	753.0	191.2455	-0.706	80.653	699.4153	697.0	297334.73728888814	510.0	909.0	115.9146	-0.6972	76.4747	923.7553	953.0	272389.7743681212	725.0	1050.0	102.3331	0.23966399871706076	0.5673547887903535	0.5740339979328554	0.7286210160470696
